dataset,source_split,record_id,filepath,label
physionet_2016,training,a0025,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0025.wav,abnormal_other
physionet_2016,training,a0026,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0026.wav,normal
physionet_2016,training,a0027,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0027.wav,abnormal_other
physionet_2016,training,a0028,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0028.wav,abnormal_other
physionet_2016,training,a0029,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0029.wav,abnormal_other
physionet_2016,training,a0030,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0030.wav,normal
physionet_2016,training,a0031,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0031.wav,normal
physionet_2016,training,a0032,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0032.wav,abnormal_other
physionet_2016,training,a0033,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0033.wav,normal
physionet_2016,training,a0034,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0034.wav,normal
physionet_2016,training,a0035,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0035.wav,abnormal_other
physionet_2016,training,a0036,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0036.wav,normal
physionet_2016,training,a0037,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0037.wav,normal
physionet_2016,training,a0038,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0038.wav,abnormal_other
physionet_2016,training,a0039,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0039.wav,normal
physionet_2016,training,a0040,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0040.wav,normal
physionet_2016,training,a0041,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0041.wav,normal
physionet_2016,training,a0042,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0042.wav,normal
physionet_2016,training,a0043,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0043.wav,normal
physionet_2016,training,a0044,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0044.wav,normal
physionet_2016,training,a0045,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0045.wav,normal
physionet_2016,training,a0046,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0046.wav,normal
physionet_2016,training,a0047,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0047.wav,normal
physionet_2016,training,a0048,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0048.wav,normal
physionet_2016,training,a0049,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0049.wav,abnormal_other
physionet_2016,training,a0050,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0050.wav,abnormal_other
physionet_2016,training,a0051,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0051.wav,normal
physionet_2016,training,a0052,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0052.wav,normal
physionet_2016,training,a0053,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0053.wav,abnormal_other
physionet_2016,training,a0054,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0054.wav,normal
physionet_2016,training,a0055,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0055.wav,abnormal_other
physionet_2016,training,a0056,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0056.wav,normal
physionet_2016,training,a0057,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0057.wav,normal
physionet_2016,training,a0058,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0058.wav,normal
physionet_2016,training,a0059,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0059.wav,normal
physionet_2016,training,a0060,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0060.wav,normal
physionet_2016,training,a0061,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0061.wav,normal
physionet_2016,training,a0062,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0062.wav,normal
physionet_2016,training,a0063,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0063.wav,normal
physionet_2016,training,a0064,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0064.wav,normal
physionet_2016,training,a0065,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0065.wav,normal
physionet_2016,training,a0066,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0066.wav,normal
physionet_2016,training,a0067,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0067.wav,normal
physionet_2016,training,a0068,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0068.wav,abnormal_other
physionet_2016,training,a0069,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0069.wav,abnormal_other
physionet_2016,training,a0070,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0070.wav,abnormal_other
physionet_2016,training,a0071,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0071.wav,abnormal_other
physionet_2016,training,a0072,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0072.wav,normal
physionet_2016,training,a0073,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0073.wav,normal
physionet_2016,training,a0074,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0074.wav,normal
physionet_2016,training,a0075,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0075.wav,normal
physionet_2016,training,a0076,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0076.wav,normal
physionet_2016,training,a0077,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0077.wav,normal
physionet_2016,training,a0078,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0078.wav,normal
physionet_2016,training,a0079,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0079.wav,normal
physionet_2016,training,a0080,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0080.wav,abnormal_other
physionet_2016,training,a0081,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0081.wav,abnormal_other
physionet_2016,training,a0082,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0082.wav,normal
physionet_2016,training,a0083,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0083.wav,normal
physionet_2016,training,a0084,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0084.wav,normal
physionet_2016,training,a0085,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0085.wav,abnormal_other
physionet_2016,training,a0086,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0086.wav,abnormal_other
physionet_2016,training,a0087,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0087.wav,normal
physionet_2016,training,a0088,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0088.wav,abnormal_other
physionet_2016,training,a0089,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0089.wav,normal
physionet_2016,training,a0090,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0090.wav,normal
physionet_2016,training,a0091,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0091.wav,abnormal_other
physionet_2016,training,a0092,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0092.wav,normal
physionet_2016,training,a0093,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0093.wav,abnormal_other
physionet_2016,training,a0094,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0094.wav,abnormal_other
physionet_2016,training,a0095,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0095.wav,normal
physionet_2016,training,a0096,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0096.wav,normal
physionet_2016,training,a0097,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0097.wav,normal
physionet_2016,training,a0098,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0098.wav,normal
physionet_2016,training,a0099,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0099.wav,normal
physionet_2016,training,a0100,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0100.wav,normal
physionet_2016,training,a0101,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0101.wav,normal
physionet_2016,training,a0102,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0102.wav,abnormal_other
physionet_2016,training,a0103,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0103.wav,normal
physionet_2016,training,a0104,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0104.wav,normal
physionet_2016,training,a0105,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0105.wav,abnormal_other
physionet_2016,training,a0106,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0106.wav,abnormal_other
physionet_2016,training,a0107,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0107.wav,normal
physionet_2016,training,a0108,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0108.wav,abnormal_other
physionet_2016,training,a0109,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0109.wav,abnormal_other
physionet_2016,training,a0110,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0110.wav,normal
physionet_2016,training,a0111,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0111.wav,normal
physionet_2016,training,a0112,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0112.wav,normal
physionet_2016,training,a0113,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0113.wav,normal
physionet_2016,training,a0114,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0114.wav,normal
physionet_2016,training,a0115,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0115.wav,normal
physionet_2016,training,a0116,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0116.wav,normal
physionet_2016,training,a0117,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0117.wav,normal
physionet_2016,training,a0118,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0118.wav,abnormal_other
physionet_2016,training,a0119,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0119.wav,normal
physionet_2016,training,a0120,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0120.wav,normal
physionet_2016,training,a0121,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0121.wav,normal
physionet_2016,training,a0122,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0122.wav,normal
physionet_2016,training,a0123,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0123.wav,normal
physionet_2016,training,a0124,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0124.wav,normal
physionet_2016,training,a0125,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0125.wav,abnormal_other
physionet_2016,training,a0126,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0126.wav,normal
physionet_2016,training,a0127,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0127.wav,abnormal_other
physionet_2016,training,a0128,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0128.wav,normal
physionet_2016,training,a0129,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0129.wav,abnormal_other
physionet_2016,training,a0130,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0130.wav,normal
physionet_2016,training,a0131,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0131.wav,normal
physionet_2016,training,a0132,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0132.wav,normal
physionet_2016,training,a0133,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0133.wav,normal
physionet_2016,training,a0134,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0134.wav,normal
physionet_2016,training,a0135,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0135.wav,normal
physionet_2016,training,a0136,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0136.wav,abnormal_other
physionet_2016,training,a0137,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0137.wav,normal
physionet_2016,training,a0138,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0138.wav,normal
physionet_2016,training,a0139,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0139.wav,abnormal_other
physionet_2016,training,a0140,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0140.wav,abnormal_other
physionet_2016,training,a0141,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0141.wav,abnormal_other
physionet_2016,training,a0142,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0142.wav,normal
physionet_2016,training,a0143,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0143.wav,normal
physionet_2016,training,a0144,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0144.wav,normal
physionet_2016,training,a0145,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0145.wav,normal
physionet_2016,training,a0146,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0146.wav,normal
physionet_2016,training,a0147,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0147.wav,normal
physionet_2016,training,a0148,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0148.wav,normal
physionet_2016,training,a0149,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0149.wav,normal
physionet_2016,training,a0150,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0150.wav,normal
physionet_2016,training,a0151,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0151.wav,normal
physionet_2016,training,a0152,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0152.wav,normal
physionet_2016,training,a0153,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0153.wav,abnormal_other
physionet_2016,training,a0154,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0154.wav,abnormal_other
physionet_2016,training,a0155,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0155.wav,abnormal_other
physionet_2016,training,a0156,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0156.wav,normal
physionet_2016,training,a0157,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0157.wav,normal
physionet_2016,training,a0158,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0158.wav,normal
physionet_2016,training,a0159,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0159.wav,normal
physionet_2016,training,a0160,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0160.wav,normal
physionet_2016,training,a0161,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0161.wav,abnormal_other
physionet_2016,training,a0162,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0162.wav,normal
physionet_2016,training,a0163,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0163.wav,normal
physionet_2016,training,a0164,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0164.wav,normal
physionet_2016,training,a0165,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0165.wav,abnormal_other
physionet_2016,training,a0166,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0166.wav,normal
physionet_2016,training,a0167,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0167.wav,normal
physionet_2016,training,a0168,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0168.wav,normal
physionet_2016,training,a0169,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0169.wav,normal
physionet_2016,training,a0170,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0170.wav,normal
physionet_2016,training,a0171,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0171.wav,abnormal_other
physionet_2016,training,a0172,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0172.wav,normal
physionet_2016,training,a0173,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0173.wav,normal
physionet_2016,training,a0174,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0174.wav,normal
physionet_2016,training,a0175,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0175.wav,normal
physionet_2016,training,a0176,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0176.wav,normal
physionet_2016,training,a0177,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0177.wav,normal
physionet_2016,training,a0178,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0178.wav,abnormal_other
physionet_2016,training,a0179,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0179.wav,abnormal_other
physionet_2016,training,a0180,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0180.wav,normal
physionet_2016,training,a0181,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0181.wav,abnormal_other
physionet_2016,training,a0182,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0182.wav,normal
physionet_2016,training,a0183,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0183.wav,normal
physionet_2016,training,a0184,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0184.wav,abnormal_other
physionet_2016,training,a0185,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0185.wav,abnormal_other
physionet_2016,training,a0186,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0186.wav,normal
physionet_2016,training,a0187,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0187.wav,normal
physionet_2016,training,a0188,C:\Users\tungl\OneDrive\Desktop\SCG\heart-sound-classification\data\raw\physionet_2016\training-a\a0188.wav,normal
